Date,Open,High,Low,Close,Adj Close,Volume
1998-01-05,10427.000000,10655.000000,10427.000000,10607.000000,10607.000000,0
1998-01-06,10607.000000,10607.000000,10135.000000,10185.000000,10185.000000,0
1998-01-07,10215.000000,10215.000000,9760.000000,9879.000000,9879.000000,0
1998-01-08,9874.000000,9874.000000,9495.000000,9658.000000,9658.000000,0
1998-01-09,9656.000000,9656.000000,9118.000000,9118.000000,9118.000000,0
1998-01-12,8441.000000,9254.000000,8441.000000,9227.000000,9227.000000,0
1998-01-13,9228.000000,9587.000000,9228.000000,9416.000000,9416.000000,0
1998-01-14,9744.000000,9744.000000,9324.000000,9349.000000,9349.000000,0
1998-01-15,9082.000000,9358.000000,9082.000000,9140.000000,9140.000000,0
1998-01-16,9145.000000,9457.000000,9145.000000,9448.000000,9448.000000,0
1998-01-19,9451.000000,9767.000000,9451.000000,9753.000000,9753.000000,0
1998-01-20,9817.000000,9817.000000,9529.000000,9568.000000,9568.000000,0
1998-01-21,9568.000000,9568.000000,9348.000000,9385.000000,9385.000000,0
1998-01-22,9234.000000,9746.000000,9234.000000,9709.000000,9709.000000,0
1998-01-23,9782.000000,9782.000000,9417.000000,9468.000000,9468.000000,0
1998-01-26,9667.000000,9667.000000,9465.000000,9513.000000,9513.000000,0
1998-01-27,9725.000000,9725.000000,9518.000000,9651.000000,9651.000000,0
1998-01-28,9651.000000,9848.000000,9651.000000,9773.000000,9773.000000,0
1998-01-29,9910.000000,9910.000000,9755.000000,9786.000000,9786.000000,0
1998-01-30,9840.000000,9840.000000,9638.000000,9720.000000,9720.000000,0
1998-02-02,9716.000000,9992.000000,9716.000000,9973.000000,9973.000000,0
1998-02-03,9810.000000,10055.000000,9810.000000,10055.000000,10055.000000,0
1998-02-04,10056.000000,10056.000000,9886.000000,9971.000000,9971.000000,0
1998-02-05,10159.000000,10159.000000,9875.000000,9948.000000,9948.000000,0
1998-02-06,9925.000000,10030.000000,9925.000000,10011.000000,10011.000000,0
1998-02-09,10007.000000,10256.000000,10007.000000,10240.000000,10240.000000,0
1998-02-10,10313.000000,10313.000000,10232.000000,10278.000000,10278.000000,0
1998-02-11,10278.000000,10495.000000,10278.000000,10485.000000,10485.000000,0
1998-02-12,10486.000000,10486.000000,10238.000000,10350.000000,10350.000000,0
1998-02-13,10291.000000,10393.000000,10291.000000,10391.000000,10391.000000,0
1998-02-16,10365.000000,10365.000000,10200.000000,10233.000000,10233.000000,0
1998-02-17,10234.000000,10420.000000,10234.000000,10420.000000,10420.000000,0
1998-02-18,10445.000000,10445.000000,10286.000000,10322.000000,10322.000000,0
1998-02-19,10163.000000,10316.000000,10163.000000,10236.000000,10236.000000,0
1998-02-20,10198.000000,10319.000000,10198.000000,10319.000000,10319.000000,0
1998-02-23,10198.000000,10319.000000,10198.000000,10319.000000,10319.000000,0
1998-02-24,null,null,null,null,null,null
1998-02-25,10291.000000,10546.000000,10291.000000,10546.000000,10546.000000,0
1998-02-26,10626.000000,10626.000000,10516.000000,10557.000000,10557.000000,0
1998-02-27,10421.000000,10577.000000,10421.000000,10571.000000,10571.000000,0
1998-03-02,10572.000000,10901.000000,10572.000000,10845.000000,10845.000000,0
1998-03-03,10572.000000,10901.000000,10572.000000,10845.000000,10845.000000,0
1998-03-04,10939.000000,10939.000000,10798.000000,10899.000000,10899.000000,0
1998-03-05,10749.000000,10990.000000,10749.000000,10948.000000,10948.000000,0
1998-03-06,10948.000000,11204.000000,10948.000000,11159.000000,11159.000000,0
1998-03-09,11296.000000,11296.000000,11137.000000,11167.000000,11167.000000,0
1998-03-10,11228.000000,11228.000000,11121.000000,11181.000000,11181.000000,0
1998-03-11,11331.000000,11331.000000,11181.000000,11223.000000,11223.000000,0
1998-03-12,11183.000000,11365.000000,11183.000000,11356.000000,11356.000000,0
1998-03-13,11358.000000,11604.000000,11358.000000,11566.000000,11566.000000,0
1998-03-16,11495.000000,11614.000000,11495.000000,11601.000000,11601.000000,0
1998-03-17,11568.000000,11808.000000,11568.000000,11808.000000,11808.000000,0
1998-03-18,11964.000000,11964.000000,11724.000000,11894.000000,11894.000000,0
1998-03-19,11913.000000,11913.000000,11793.000000,11832.000000,11832.000000,0
1998-03-20,11812.000000,11971.000000,11812.000000,11919.000000,11919.000000,0
1998-03-23,11804.000000,12037.000000,11804.000000,12025.000000,12025.000000,0
1998-03-24,12082.000000,12082.000000,11897.000000,11905.000000,11905.000000,0
1998-03-25,11998.000000,11998.000000,11734.000000,11756.000000,11756.000000,0
1998-03-26,11689.000000,11945.000000,11689.000000,11945.000000,11945.000000,0
1998-03-27,11945.000000,12112.000000,11864.000000,11900.000000,11900.000000,0
1998-03-30,11902.000000,11902.000000,11717.000000,11750.000000,11750.000000,0
1998-03-31,11753.000000,11975.000000,11753.000000,11947.000000,11947.000000,0
1998-04-01,11950.000000,11950.000000,11752.000000,11837.000000,11837.000000,0
1998-04-02,11750.000000,11959.000000,11750.000000,11858.000000,11858.000000,0
1998-04-03,11855.000000,11855.000000,11494.000000,11634.000000,11634.000000,0
1998-04-06,11637.000000,11968.000000,11637.000000,11948.000000,11948.000000,0
1998-04-07,11993.000000,11993.000000,11815.000000,11847.000000,11847.000000,0
1998-04-08,11807.000000,12008.000000,11807.000000,11975.000000,11975.000000,0
1998-04-09,null,null,null,null,null,null
1998-04-10,null,null,null,null,null,null
1998-04-13,11975.000000,12121.000000,11975.000000,12121.000000,12121.000000,0
1998-04-14,12121.000000,12273.000000,12121.000000,12270.000000,12270.000000,0
1998-04-15,12160.000000,12339.000000,12160.000000,12299.000000,12299.000000,0
1998-04-16,12250.000000,12250.000000,12042.000000,12091.000000,12091.000000,0
1998-04-17,11965.000000,12109.000000,11965.000000,12109.000000,12109.000000,0
1998-04-20,11988.000000,12202.000000,11988.000000,12028.000000,12028.000000,0
1998-04-21,null,null,null,null,null,null
1998-04-22,11936.000000,11936.000000,11661.000000,11703.000000,11703.000000,0
1998-04-23,11918.000000,11918.000000,11551.000000,11572.000000,11572.000000,0
1998-04-24,11548.000000,11755.000000,11548.000000,11728.000000,11728.000000,0
1998-04-27,11620.000000,11620.000000,11051.000000,11057.000000,11057.000000,0
1998-04-28,11057.000000,11395.000000,11057.000000,11377.000000,11377.000000,0
1998-04-29,11377.000000,11610.000000,11311.000000,11528.000000,11528.000000,0
1998-04-30,11532.000000,11784.000000,11532.000000,11677.000000,11677.000000,0
1998-05-01,null,null,null,null,null,null
1998-05-04,11719.000000,11789.000000,11457.000000,11507.000000,11507.000000,0
1998-05-05,11507.000000,11559.000000,11346.000000,11555.000000,11555.000000,0
1998-05-06,11555.000000,11625.000000,11152.000000,11165.000000,11165.000000,0
1998-05-07,11165.000000,11233.000000,11009.000000,11063.000000,11063.000000,0
1998-05-08,11065.000000,11342.000000,11065.000000,11220.000000,11220.000000,0
1998-05-11,11220.000000,11369.000000,10948.000000,10983.000000,10983.000000,0
1998-05-12,10983.000000,10985.000000,10591.000000,10798.000000,10798.000000,0
1998-05-13,10798.000000,10853.000000,10675.000000,10779.000000,10779.000000,0
1998-05-14,10779.000000,10981.000000,10724.000000,10734.000000,10734.000000,0
1998-05-15,10736.000000,10924.000000,10736.000000,10906.000000,10906.000000,0
1998-05-18,10906.000000,10908.000000,10010.000000,10205.000000,10205.000000,0
1998-05-19,10209.000000,10452.000000,10209.000000,10343.000000,10343.000000,0
1998-05-20,10343.000000,10519.000000,10007.000000,10408.000000,10408.000000,0
1998-05-21,10408.000000,10592.000000,10243.000000,10269.000000,10269.000000,0
1998-05-22,10269.000000,10279.000000,10072.000000,10240.000000,10240.000000,0
1998-05-25,10240.000000,10240.000000,9891.000000,10015.000000,10015.000000,0
1998-05-26,10015.000000,10017.000000,9414.000000,9436.000000,9436.000000,0
1998-05-27,9436.000000,9748.000000,8971.000000,9748.000000,9748.000000,0
1998-05-28,9748.000000,10213.000000,9685.000000,10152.000000,10152.000000,0
1998-05-29,10152.000000,10162.000000,9843.000000,9847.000000,9847.000000,0
1998-06-01,9750.000000,9750.000000,9486.000000,9605.000000,9605.000000,0
1998-06-02,9609.000000,10151.000000,9609.000000,10150.000000,10150.000000,0
1998-06-03,10150.000000,10287.000000,9761.000000,9856.000000,9856.000000,0
1998-06-04,9856.000000,10211.000000,9853.000000,10191.000000,10191.000000,0
1998-06-05,10191.000000,10447.000000,10151.000000,10370.000000,10370.000000,0
1998-06-08,10370.000000,10563.000000,10267.000000,10540.000000,10540.000000,0
1998-06-09,10540.000000,10550.000000,10333.000000,10370.000000,10370.000000,0
1998-06-10,10369.000000,10369.000000,9835.000000,9868.000000,9868.000000,0
1998-06-11,null,null,null,null,null,null
1998-06-12,9863.000000,9863.000000,9311.000000,9585.000000,9585.000000,0
1998-06-15,9582.000000,9582.000000,9062.000000,9074.000000,9074.000000,0
1998-06-16,9077.000000,9321.000000,9077.000000,9249.000000,9249.000000,0
1998-06-17,9416.000000,9908.000000,9416.000000,9897.000000,9897.000000,0
1998-06-18,9897.000000,9897.000000,9461.000000,9539.000000,9539.000000,0
1998-06-19,9539.000000,9746.000000,9539.000000,9687.000000,9687.000000,0
1998-06-22,9687.000000,9694.000000,9520.000000,9623.000000,9623.000000,0
1998-06-23,9622.000000,9955.000000,9622.000000,9937.000000,9937.000000,0
1998-06-24,9937.000000,9948.000000,9775.000000,9856.000000,9856.000000,0
1998-06-25,9856.000000,9978.000000,9513.000000,9528.000000,9528.000000,0
1998-06-26,9528.000000,9565.000000,9269.000000,9464.000000,9464.000000,0
1998-06-29,9464.000000,9632.000000,9464.000000,9604.000000,9604.000000,0
1998-06-30,9604.000000,9809.000000,9604.000000,9678.000000,9678.000000,0
1998-07-01,9678.000000,9925.000000,9678.000000,9915.000000,9915.000000,0
1998-07-02,9915.000000,9915.000000,9788.000000,9901.000000,9901.000000,0
1998-07-03,9901.000000,10116.000000,9901.000000,10116.000000,10116.000000,0
1998-07-06,10116.000000,10116.000000,9886.000000,10018.000000,10018.000000,0
1998-07-07,10018.000000,10218.000000,10013.000000,10205.000000,10205.000000,0
1998-07-08,10205.000000,10387.000000,10202.000000,10336.000000,10336.000000,0
1998-07-09,null,null,null,null,null,null
1998-07-10,10336.000000,10381.000000,10173.000000,10327.000000,10327.000000,0
1998-07-13,10353.000000,10462.000000,10353.000000,10420.000000,10420.000000,0
1998-07-14,10420.000000,10673.000000,10419.000000,10642.000000,10642.000000,0
1998-07-15,10642.000000,10792.000000,10579.000000,10649.000000,10649.000000,0
1998-07-16,10691.000000,10921.000000,10691.000000,10908.000000,10908.000000,0
1998-07-17,10908.000000,11110.000000,10908.000000,11057.000000,11057.000000,0
1998-07-20,11057.000000,11097.000000,10950.000000,11041.000000,11041.000000,0
1998-07-21,11041.000000,11156.000000,10899.000000,10923.000000,10923.000000,0
1998-07-22,10923.000000,10932.000000,10719.000000,10912.000000,10912.000000,0
1998-07-23,10912.000000,10913.000000,10635.000000,10640.000000,10640.000000,0
1998-07-24,10640.000000,10784.000000,10403.000000,10575.000000,10575.000000,0
1998-07-27,10575.000000,10580.000000,10324.000000,10564.000000,10564.000000,0
1998-07-28,10564.000000,10710.000000,10234.000000,10318.000000,10318.000000,0
1998-07-29,10319.000000,10756.000000,10319.000000,10542.000000,10542.000000,0
1998-07-30,10543.000000,11064.000000,10543.000000,10939.000000,10939.000000,0
1998-07-31,10939.000000,10996.000000,10643.000000,10707.000000,10707.000000,0
1998-08-03,10705.000000,10705.000000,10399.000000,10413.000000,10413.000000,0
1998-08-04,10413.000000,10510.000000,9840.000000,9860.000000,9860.000000,0
1998-08-05,9860.000000,9961.000000,9558.000000,9828.000000,9828.000000,0
1998-08-06,9780.000000,9780.000000,9617.000000,9690.000000,9690.000000,0
1998-08-07,9690.000000,9690.000000,9194.000000,9319.000000,9319.000000,0
1998-08-10,9319.000000,9319.000000,9031.000000,9182.000000,9182.000000,0
1998-08-11,9174.000000,9174.000000,8658.000000,8802.000000,8802.000000,0
1998-08-12,8802.000000,9066.000000,8400.000000,8417.000000,8417.000000,0
1998-08-13,8417.000000,8786.000000,8364.000000,8711.000000,8711.000000,0
1998-08-14,8711.000000,8981.000000,8609.000000,8744.000000,8744.000000,0
1998-08-17,8744.000000,8747.000000,8492.000000,8610.000000,8610.000000,0
1998-08-18,8610.000000,8679.000000,8383.000000,8643.000000,8643.000000,0
1998-08-19,8643.000000,8842.000000,8496.000000,8542.000000,8542.000000,0
1998-08-20,8542.000000,8542.000000,7972.000000,7992.000000,7992.000000,0
1998-08-21,7800.000000,7991.000000,7191.000000,7764.000000,7764.000000,0
1998-08-24,7764.000000,7888.000000,7496.000000,7655.000000,7655.000000,0
1998-08-25,7655.000000,7933.000000,7520.000000,7648.000000,7648.000000,0
1998-08-26,7645.000000,7645.000000,7302.000000,7348.000000,7348.000000,0
1998-08-27,7339.000000,7339.000000,6577.000000,6617.000000,6617.000000,0
1998-08-28,6617.000000,6890.000000,6530.000000,6746.000000,6746.000000,0
